contact__c,Tenancy__r:Contract:PMS_Reference__c,role__c,start_date__c,end_date__c,external_id__c
0034J00000a4Z3DQAU,103113001001,6 Successor (Regulated),1945-01-01,,103113001001_0034J00000a4Z3DQAU
0034J00000a4Z3rQAE,103117001001,2 Tenant,1969-01-01,,103117001001_0034J00000a4Z3rQAE
0034J00000a4Z4BQAU,103117001001,6 Successor (Regulated),1969-01-01,,103117001001_0034J00000a4Z4BQAU
0034J00000a4Z4aQAE,103117001001,5 Relevant Person,1969-01-01,,103117001001_0034J00000a4Z4aQAE
0034J00000a4YyNQAU,103121001001,2 Tenant,1962-02-01,,103121001001_0034J00000a4YyNQAU
0034J00000a4Yw8QAE,103124001001,5 Relevant Person,1990-01-01,,103124001001_0034J00000a4Yw8QAE
0034J00000a4YxZQAU,103124002003,5 Relevant Person,2013-12-11,,103124002003_0034J00000a4YxZQAU
0034J00000a4Z2aQAE,103125001001,5 Relevant Person,1990-01-01,,103125001001_0034J00000a4Z2aQAE
0034J00000a4YZxQAM,103125001001,5 Relevant Person,1990-01-01,,103125001001_0034J00000a4YZxQAM
0034J00000a4YpcQAE,103125002002,5 Relevant Person,2006-04-21,,103125002002_0034J00000a4YpcQAE
0034J00000a4YxUQAU,103126001002,5 Relevant Person,2013-01-30,,103126001002_0034J00000a4YxUQAU
0038d0000075RnYAAU,103127001002,2 Tenant,2021-08-04,,103127001002_0038d0000075RnYAAU
0034J00000a4Z2eQAE,103128001001,5 Relevant Person,1990-01-01,,103128001001_0034J00000a4Z2eQAE
0034J00000a4YiBQAU,103128001001,5 Relevant Person,1990-01-01,,103128001001_0034J00000a4YiBQAU
0034J00000a4Z2oQAE,103129001001,5 Relevant Person,1990-01-01,,103129001001_0034J00000a4Z2oQAE
0038d00000QeJzIAAV,103129002005,5 Relevant Person,2022-08-05,,103129002005_0038d00000QeJzIAAV
0038d00000QeJqvAAF,103129002005,5 Relevant Person,2022-08-05,,103129002005_0038d00000QeJqvAAF
0034J00000a4Z2tQAE,103132001002,5 Relevant Person,2018-03-09,,103132001002_0034J00000a4Z2tQAE
0034J00000a4YpbQAE,103132002002,5 Relevant Person,2005-10-28,,103132002002_0034J00000a4YpbQAE
0034J00000a4YtlQAE,103133001001,5 Relevant Person,1990-01-01,,103133001001_0034J00000a4YtlQAE
0034J00000a4Z3SQAU,103133002002,5 Relevant Person,2011-04-18,,103133002002_0034J00000a4Z3SQAU
0034J00000aJPzQQAW,103134001005,2 Tenant,2018-03-29,,103134001005_0034J00000aJPzQQAW
0034J00000a4ZCKQA2,103134002001,5 Relevant Person,1990-01-01,,103134002001_0034J00000a4ZCKQA2
0034J00000a4Yv6QAE,103134002001,5 Relevant Person,1990-01-01,,103134002001_0034J00000a4Yv6QAE
0034J00000a4Z4fQAE,103135001001,5 Relevant Person,2000-05-12,,103135001001_0034J00000a4Z4fQAE
0034J00000a4Z4pQAE,103135001001,5 Relevant Person,2000-05-12,,103135001001_0034J00000a4Z4pQAE
003Nz00000CEigdIAD,103135002003,5 Relevant Person,2024-04-03,,103135002003_003Nz00000CEigdIAD
003Nz00000CEnefIAD,103135002003,5 Relevant Person,2024-04-04,,103135002003_003Nz00000CEnefIAD
0034J00000a4YrNQAU,103136001002,5 Relevant Person,2015-02-05,,103136001002_0034J00000a4YrNQAU
0038d00000767qDAAQ,103136002006,2 Tenant,2021-03-26,,103136002006_0038d00000767qDAAQ
0034J00000a4XhXQAU,103136003003,5 Relevant Person,2003-11-07,,103136003003_0034J00000a4XhXQAU
0038d00000PKO4XAAX,103136004002,5 Relevant Person,2022-09-07,,103136004002_0038d00000PKO4XAAX
0038d00000PKO4cAAH,103136004002,5 Relevant Person,2022-09-07,,103136004002_0038d00000PKO4cAAH
0034J00000a4Z1rQAE,103137001003,5 Relevant Person,2005-04-04,,103137001003_0034J00000a4Z1rQAE
0034J00000a4Z4LQAU,103137001003,5 Relevant Person,2005-04-04,,103137001003_0034J00000a4Z4LQAU
0034J00000gMuTLQA0,103138001002,5 Relevant Person,2021-02-08,,103138001002_0034J00000gMuTLQA0
0034J00000gMuTVQA0,103138001002,5 Relevant Person,2021-02-08,,103138001002_0034J00000gMuTVQA0
0034J00000a4Z2jQAE,103138002003,5 Relevant Person,2014-10-27,,103138002003_0034J00000a4Z2jQAE
0034J00000a4Z3hQAE,103138003001,5 Relevant Person,1990-01-01,,103138003001_0034J00000a4Z3hQAE
0038d00000Bf7pLAAR,103138004002,5 Relevant Person,2022-06-06,,103138004002_0038d00000Bf7pLAAR
0038d00000Bf7pVAAR,103138004002,5 Relevant Person,2022-06-06,,103138004002_0038d00000Bf7pVAAR
0034J00000a4Z2yQAE,103139001001,5 Relevant Person,1990-01-01,,103139001001_0034J00000a4Z2yQAE
0034J00000a4Z3mQAE,103139002002,5 Relevant Person,2009-05-01,,103139002002_0034J00000a4Z3mQAE
