id,Tenancy__r:Contract:PMS_Reference__C
a24Nz000001SmltIAC,222666212003
a24Nz000001lP8rIAE,222666211004
a24Nz000001VYCvIAO,222666165002
a24Nz000001dIe1IAE,222666145003
a24Nz000001XFxNIAW,222666116004
a24Nz000001VCIsIAO,222666073003
a24Nz000001jzbRIAQ,222666060005
a24Nz000001MVr0IAG,222666037005
a24Nz000001K7T0IAK,222666014004
a24Nz000001K6ThIAK,222666001002
a24Nz000001bghFIAQ,222664066003
a24Nz000001nMWiIAM,222661043003
a24Nz000001izvFIAQ,222661021003
a24Nz000001HvSjIAK,222661015003
a24Nz000001jFLhIAM,222661007003
a24Nz000001hUQTIA2,222659132004
a24Nz000001pFcLIAU,222659120004
a24Nz000001FAEcIAO,222659113003
a24Nz000001nObhIAE,222659082003
a24Nz000001SLFTIA4,222659076003
a24Nz000001agmXIAQ,222659074003
a24Nz000001H3CDIA0,222659069003
a24Nz000001KCm1IAG,222659065003
a24Nz000001nNhFIAU,222659059003
a24Nz000001hs1NIAQ,222659038005
a24Nz000001QwhJIAS,222659026003
a24Nz000001L4w5IAC,222659021003
a24Nz000001d9pGIAQ,222659015003
a24Nz000001PfH7IAK,222652103004
a24Nz000001lILtIAM,222652017004
a24Nz000001RRGTIA4,222652004003
a24Nz000001nyqTIAQ,222652002004
a24Nz000001IspNIAS,222650092004
a24Nz000001Hve3IAC,222650028003
a24Nz000001hiYHIAY,222650001005
a24Nz000001jtNxIAI,222649049002
a24Nz000001QhrxIAC,222649035002
a24Nz000001aau1IAA,222648199002
a24Nz000001SJvBIAW,222648195005
a24Nz000001MLzhIAG,222648154003
a24Nz000001KNpVIAW,222648134005
a24Nz000001iUZhIAM,222648121003
a24Pv000003XfpGIAS,222648109002
a24Nz000001i7ejIAA,222648107002
a24Nz000001SLQjIAO,222648100004
a24Nz000001HIKvIAO,222648093003
a24Nz000001Y9oHIAS,222648083004
a24Nz000001XeR7IAK,222648073002
a24Nz000001kMZdIAM,222648005002
a24Nz000001P6knIAC,222643078003
a24Nz000001b6U5IAI,222643035004
a24Nz000001e0FFIAY,222640083005
a24Nz0000019W6XIAU,222639139003
a24Nz000001dzizIAA,222639119004
a24Nz000001d8WbIAI,222639117004
a24Nz000001M11hIAC,222639081004
a24Nz000001d9SfIAI,222630212005
a24Nz000001SoirIAC,222630206007
a24Nz000001ZnEzIAK,222630198002
a24Nz000000l1ALIAY,222630194003
a24Nz000001oiRtIAI,222630181006
a24Nz000000pr8jIAA,222630172006
a24Nz000001P8hlIAC,222630171004
a24Nz0000019LO1IAM,222630159003
a24Nz000001bCZVIA2,222630112007
a24Nz000001dcODIAY,222630110004
a24Nz000001PlETIA0,222630051006
a24Nz000001i6AnIAI,222630048005
a24Nz000001fA4TIAU,222630033004
a24Nz000001pyMXIAY,222630021003
a24Nz000001UiHZIA0,222630008004
a24Nz000001dJQPIA2,222629077004
a24Nz000001ZJonIAG,222629071004
a24Nz000001OgwnIAC,222629064003
a24Nz000001oesvIAA,222629032004
a24Nz000001ZJf7IAG,222624054007
a24Nz000001M0f7IAC,222624038003
a24Nz000001i8anIAA,222624013004
