"parent_reference","salesforce_unit_id","cnt"
"107468004001","a1G4J0000025uAcUAI","2"
"222799115002","a1GNz000002tC2cMAE","2"
"217371047002","a1G4J0000025yKYUAY","3"
"317351045002","a1G4J0000025zHzUAI","2"
"418578100001",,"2"
"114189001003","a1G4J0000025wEnUAI","2"
"107726001001","a1G4J0000025urOUAQ","2"
"222685041002","a1G8d0000004XbeEAE","2"
"115823001004","a1G4J00000262b0UAA","2"
"222749033001","a1GNz0000000cWjMAI","2"
"114940002002","a1G4J0000025wQLUAY","2"
"222683042002","a1G8d0000004XeSEAU","2"
"116103001003","a1G4J0000025wkBUAQ","2"
"222648036003","a1G4J0000025ydXUAQ","4"
"104104001003","a1G4J0000025u0mUAA","2"
"110520001001","a1G4J0000025vBxUAI","2"
"222683139003","a1G8d0000004XkBEAU","5"
"114150002003","a1G4J0000025w3sUAA","2"
"222522024002","a1G4J0000025yC7UAI","3"
"222601057002","a1G4J0000025y8sUAA","2"
"900002077002","a1G4J00000260R2UAI","3"
"110566001001","a1G4J0000025vLxUAI","2"
"127789001001","a1GNz0000002jHBMAY","2"
"222649020003","a1G4J0000025yVbUAI","2"
"110737001001","a1G4J0000025vGmUAI","2"
"104196005001","a1G4J0000025u7GUAQ","2"
"418602003004","a1G4J0000025z2rUAA","4"
"103427002001","a1G4J00000261NqUAI","2"
"114845002005","a1G4J0000025vwYUAQ","2"
"418636016004","a1G4J00000260ApUAI","2"
"111867099004","a1G4J00000261wXUAQ","2"
"103744001001","a1G4J0000025tpvUAA","2"
"418579041003","a1G4J0000025zzsUAA","3"
"127526001001","a1G4J0000025xaRUAQ","2"
"111867097002","a1G4J000002621gUAA","2"
"115495002004","a1G4J0000025u6CUAQ","2"
"113585002004","a1G4J0000025vhnUAA","2"
"418578077003","a1G4J000002606nUAA","4"
"110447283002","a1G4J0000025v7wUAA","2"
"217066001001","a1G4J0000025xfWUAQ","2"
"222748013001","a1GNz0000000aGQMAY","2"
"318294002002","a1G4J0000025zcLUAQ","2"
"109989087001","a1G4J0000025v7fUAA","2"
"418568001004","a1G4J0000025zbuUAA","2"
"418567004004","a1G4J0000025zfDUAQ","4"
"122486089007","a1G4J0000025wfBUAQ","2"
"222544001003","a1G4J0000025xsUUAQ","2"
"112414001002","a1G4J0000025v2OUAQ","2"
"110109002002","a1G4J0000025v5kUAA","2"
"222744091001","a1G8d000002QBRQEA4","2"
"222799067002","a1GNz000002tFRtMAM","2"
"103477001001","a1G4J0000025tdXUAQ","2"
"222579057005","a1G4J0000025yyyUAA","3"
"104357001003","a1G4J0000025tuAUAQ","2"
"104474002003","a1G4J0000025uK0UAI","2"
"318292016001","a1G4J0000025zPVUAY","2"
"222648043003","a1G4J0000025ySwUAI","2"
"110733001001","a1G4J0000025vODUAY","2"
"110447279001","a1G4J0000025up0UAA","2"
"222697055001","a1G8d0000004qcyEAA","2"
"222623004003","a1G4J0000025yrxUAA","2"
"418637024002","a1G4J00000260A1UAI","2"
"127762001001","a1G8d00000240V1EAI","2"
"104168011001","a1G4J0000025uAtUAI","2"
"217112006002","a1G4J0000025xiFUAQ","2"
"216734001001","a1G4J0000025xh2UAA","2"
"317585014003","a1G4J00000262ucUAA","3"
"114060001002","a1G4J0000025vzkUAA","2"
"112392002004","a1G4J0000025vq2UAA","2"
"222643023003","a1G4J0000025yOVUAY","3"
"222664001003","a1G4J000004jur7UAA","2"
"104153001001","a1G4J0000025u8iUAA","2"
"127782001001","a1GNz0000001Tw1MAE","2"
"222659132003","a1G4J0000025yQZUAY","2"
"127766001001","a1G8d000002PZ0WEAW","2"
"105099036006","a1G4J0000025uOeUAI","2"
"113494001001","a1G4J0000025vzAUAQ","3"
"122506122001","a1G4J0000025wyyUAA","2"
"222578002005","a1G4J0000025yixUAA","3"
"110452001001","a1G4J0000025u7ZUAQ","2"
"222606016005","a1G4J0000025xmpUAA","2"
"107816001004","a1G4J0000025ut5UAA","2"
"217371018005","a1G4J0000025yDlUAI","2"
"109192001001","a1G4J0000025v0CUAQ","2"
"222737087001","a1G8d000002QBbLEAW","2"
"222580017004","a1G4J0000025xI9UAI","3"
"222737094001","a1G8d000002QBbkEAG","2"
"222664074001","a1G4J000004juwWUAQ","2"
"104209006002","a1G4J0000025tTIUAY","2"
"104576001001","a1G4J0000025uM6UAI","2"
"317665009007","a1G4J0000025yk2UAA","2"
"222758344001","a1GNz0000000zl3MAA","2"
"222666026002","a1G4J000004jyefUAA","2"
"222612001001","a1G4J0000025xsJUAQ","2"
"112217002004","a1G4J0000025vfKUAQ","2"
"222676070002","a1G8d0000004DHLEA2","2"
"217371107008","a1G4J0000025yElUAI","3"
"113978001001","a1G4J0000025vlIUAQ","2"
"222630216004","a1G4J0000025zTWUAY","2"
"222579045005","a1G4J0000025z8pUAA","2"
"418574024004","a1G4J0000025zbyUAA","4"
"111421001001","a1G4J0000025vb9UAA","2"
"115593002001","a1G4J0000025wc1UAA","2"
"103223001001","a1G4J0000025teJUAQ","3"
"127483073001","a1G4J0000025xYeUAI","2"
"127483054001","a1G4J0000025xLyUAI","2"
"222580113004","a1G4J0000025yK2UAI","2"
"115917001003","a1G4J0000025wZDUAY","2"
"418576068003","a1G4J0000025ztVUAQ","3"
"114506001004","a1G4J0000025urbUAA","2"
"900002143001","a1G4J0000025xdIUAQ","2"
"222650016003","a1G4J0000025yUiUAI","2"
"107404001001","a1G4J0000025uivUAA","2"
"222677047003","a1G8d0000004D85EAE","4"
"222643072002","a1G4J0000025y8zUAA","3"
"222677077005","a1G8d0000004DIxEAM","2"
"222708192001","a1G8d0000005r9TEAQ","2"
"418645041003","a1G4J0000025zDyUAI","2"
"222678053003","a1G8d0000004DFtEAM","2"
"222650013001","a1G4J0000025yWzUAI","2"
"317874001001","a1G4J0000025yxvUAA","2"
"222668034002","a1G4J000004jyk9UAA","2"
"112296001001","a1G4J0000025vkLUAQ","3"
"418567023004","a1G4J0000025zfSUAQ","2"
"222487016007","a1G4J0000025xwmUAA","2"
"222676036003","a1G8d0000004DCQEA2","3"
"127057142001","a1G4J0000025xEoUAI","2"
"222749035001","a1GNz0000000cYLMAY","3"
"222630030007","a1G4J0000025zSxUAI","2"
"114863001002","a1G4J0000025vkwUAA","2"
"108620015003","a1G4J0000025uyFUAQ","2"
"222695010001","a1G8d0000004qcuEAA","2"
"222666034002","a1G4J000004jyfJUAQ","2"
"113831001006","a1G4J0000025w6uUAA","2"
"900002096002","a1G4J0000025zf2UAA","2"
"317971001001","a1G4J0000025zHvUAI","2"
"222749103001","a1GNz0000000dUPMAY","2"
"222623090003","a1G4J0000025z0UUAQ","3"
"222741091001","a1G8d000002Q2WhEAK","3"
"114859001001","a1G4J0000025wPWUAY","2"
"222601044001","a1G4J0000025y6OUAQ","2"
"111829001004","a1G4J0000025v2FUAQ","2"
"104109001003","a1G4J0000025tp0UAA","2"
"418535005004","a1G4J0000025zTeUAI","2"
"222581067002","a1G4J0000025xyRUAQ","2"
"222700011001","a1G8d0000004qdhEAA","2"
"418639066001","a1G8d0000004MjOEAU","2"
"418576027002","a1G4J0000026010UAA","2"
"103734029004","a1G4J0000025trmUAA","2"
"900002003005","a1G4J00000260PaUAI","2"
"317351034006","a1G4J0000025zEqUAI","2"
"103898001004","a1G4J0000025twTUAQ","2"
"103270001001","a1G4J0000025tgAUAQ","2"
"217093004004","a1G4J0000025xmCUAQ","2"
"418637020003","a1G4J0000026096UAA","2"
"222683143002","a1G8d0000004XkLEAU","2"
"122486054004","a1G4J0000025wq7UAA","2"
"115614001001","a1G4J0000025wckUAA","2"
"418547007004","a1G4J0000025zU7UAI","2"
"127131006002","a1G4J0000025x4gUAA","2"
"222643098003","a1G4J0000025yJPUAY","3"
"122506178001","a1G4J0000025x0nUAA","2"
"122486030003","a1G4J0000025w7VUAQ","2"
"317585024002","a1G4J00000262zOUAQ","2"
"115472001003","a1G4J0000025u7AUAQ","2"
"222744103001","a1G8d000002QBSEEA4","2"
"113527001001","a1G4J0000025w0NUAQ","2"
"115582001002","a1G4J0000025wbhUAA","3"
"109989089001","a1G4J0000025ul3UAA","2"
"222749161001","a1GNz0000000eBxMAI","2"
"109989033002","a1G4J0000025v5xUAA","3"
"222676040003","a1G8d0000004DD9EAM","2"
"222666049003","a1G4J000004jyhFUAQ","2"
"222601055002","a1G4J0000025y8FUAQ","2"
"317351051003","a1G4J0000025zFvUAI","3"
"222581010005","a1G4J0000025y1TUAQ","2"
"103220001001","a1G4J0000025tc4UAA","2"
"111112001002","a1G4J0000025v6zUAA","2"
"107693001006","a1G4J0000025uSwUAI","2"
"222683021002","a1G8d0000004Xd5EAE","2"
"222749104002","a1GNz0000000dW1MAI","2"
"317630004006","a1G4J00000262wsUAA","2"
"418565044003","a1G4J0000025zs8UAA","3"
"222582006001","a1G4J0000025xlmUAA","2"
"222601070002","a1G4J0000025y7uUAA","2"
"222522008004","a1G4J0000025xBnUAI","2"
"222664047002","a1G4J000004juuaUAA","2"
"222522040006","a1G4J0000025yESUAY","3"
"107524012001","a1G4J0000025uSQUAY","2"
"222579126004","a1G4J0000025zAAUAY","2"
"418645043003","a1G4J000002608HUAQ","2"
"127262019002","a1G4J0000025x7XUAQ","2"
"222737173002","a1G8d000002QBhdEAG","2"
"222606020002","a1G4J0000025xjBUAQ","2"
"222578063004","a1G4J0000025yt0UAA","2"
"127346001001","a1G4J0000025xIIUAY","2"
"317481003004","a1G4J00000262wmUAA","3"
"418579034004","a1G4J0000025zrBUAQ","2"
"222649016002","a1G4J0000025yLlUAI","2"
"127057061001","a1G4J0000025xD9UAI","2"
"122587001005","a1G4J0000025wwWUAQ","2"
"107730004001","a1G4J0000025ulrUAA","2"
"222581004004","a1G4J0000025xuwUAA","2"
"222650099003","a1G4J0000025yWeUAI","2"
"317585016006","a1G4J000002634MUAQ","3"
"217371020010","a1G4J0000025wyQUAQ","2"
"222744092001","a1G8d000002QBPpEAO","2"
"222677011003","a1G8d0000004DAKEA2","2"
"107275001001","a1G4J0000025ugzUAA","2"
"317637001007","a1G4J00000262xVUAQ","2"
"103237001001","a1G4J0000025tenUAA","3"
"115443002004","a1G4J0000025wKOUAY","2"
"222700024001","a1G8d0000004qaVEAQ","2"
"222520043002","a1G4J0000025yGvUAI","2"
