product2id,pricebook2id,unitprice,rent_periodicity__c,isactive
01t8d000000nYpaAAE,01sPv0000038lL2IAI,1353.11,Monthly,TRUE
01t8d000000nYpaAAE,01sPv0000038lKzIAI,1359.83,Monthly,TRUE
01t8d000000nYpaAAE,01sPv0000038lL0IAI,1366.57,Monthly,TRUE
01t8d000000nYpaAAE,01sPv00000246dZIAQ,1372.69,Monthly,TRUE
01t8d000000nYpaAAE,01sPv000002kqTtIAI,1379.5,Monthly,TRUE
01t8d000000nYpaAAE,01sPv000002kqTuIAI,1386.13,Monthly,TRUE
01t8d000000nYpaAAE,01sPv000002kqTvIAI,1393,Monthly,TRUE
01t8d000000nYpaAAE,01sPv000002kqTwIAI,1399.69,Monthly,TRUE
01t8d000000nYpaAAE,01sPv000002kqTxIAI,1406.64,Monthly,TRUE
01t8d000000nYpaAAE,01sPv000002kqTyIAI,1413.61,Monthly,TRUE
01t8d000000nYpaAAE,01sPv000002kqTzIAI,1420.4,Monthly,TRUE
01t8d000000nYpdAAE,01sPv0000038lL1IAI,1803.91,Monthly,TRUE
01t8d000000nYpdAAE,01sPv0000038lL2IAI,1812.57,Monthly,TRUE
01t8d000000nYpdAAE,01sPv0000038lKzIAI,1821.56,Monthly,TRUE
01t8d000000nYpdAAE,01sPv0000038lL0IAI,1830.59,Monthly,TRUE
01t8d000000nYpdAAE,01sPv00000246dZIAQ,1838.8,Monthly,TRUE
01t8d000000nYpdAAE,01sPv000002kqTtIAI,1847.92,Monthly,TRUE
01t8d000000nYpdAAE,01sPv000002kqTuIAI,1856.79,Monthly,TRUE
01t8d000000nYpdAAE,01sPv000002kqTvIAI,1866,Monthly,TRUE
01t8d000000nYpdAAE,01sPv000002kqTwIAI,1874.96,Monthly,TRUE
01t8d000000nYpdAAE,01sPv000002kqTxIAI,1884.26,Monthly,TRUE
01t8d000000nYpdAAE,01sPv000002kqTyIAI,1893.61,Monthly,TRUE
01t8d000000nYpdAAE,01sPv000002kqTzIAI,1902.7,Monthly,TRUE
01t8d000000nYpnAAE,01sPv0000038lL1IAI,1758.68,Monthly,TRUE
01t8d000000nYpnAAE,01sPv0000038lL2IAI,1767.12,Monthly,TRUE
01t8d000000nYpnAAE,01sPv0000038lKzIAI,1775.89,Monthly,TRUE
01t8d000000nYpnAAE,01sPv0000038lL0IAI,1784.7,Monthly,TRUE
01t8d000000nYpnAAE,01sPv00000246dZIAQ,1792.7,Monthly,TRUE
01t8d000000nYpnAAE,01sPv000002kqTtIAI,1801.59,Monthly,TRUE
01t8d000000nYpnAAE,01sPv000002kqTuIAI,1810.24,Monthly,TRUE
01t8d000000nYpnAAE,01sPv000002kqTvIAI,1819.22,Monthly,TRUE
01t8d000000nYpnAAE,01sPv000002kqTwIAI,1827.95,Monthly,TRUE
01t8d000000nYpnAAE,01sPv000002kqTxIAI,1837.02,Monthly,TRUE
01t8d000000nYpnAAE,01sPv000002kqTyIAI,1846.14,Monthly,TRUE
01t8d000000nYpnAAE,01sPv000002kqTzIAI,1855,Monthly,TRUE
01t8d000000nYpsAAE,01sPv0000038lL1IAI,2125.49,Monthly,TRUE
01t8d000000nYpsAAE,01sPv0000038lL2IAI,2135.7,Monthly,TRUE
01t8d000000nYpsAAE,01sPv0000038lKzIAI,2146.29,Monthly,TRUE
01t8d000000nYpsAAE,01sPv0000038lL0IAI,2156.94,Monthly,TRUE
01t8d000000nYpsAAE,01sPv00000246dZIAQ,2166.6,Monthly,TRUE
01t8d000000nYpsAAE,01sPv000002kqTtIAI,2177.35,Monthly,TRUE
01t8d000000nYpsAAE,01sPv000002kqTuIAI,2187.8,Monthly,TRUE
01t8d000000nYpsAAE,01sPv000002kqTvIAI,2198.66,Monthly,TRUE
01t8d000000nYpsAAE,01sPv000002kqTwIAI,2209.21,Monthly,TRUE
01t8d000000nYpsAAE,01sPv000002kqTxIAI,2220.17,Monthly,TRUE
01t8d000000nYpsAAE,01sPv000002kqTyIAI,2231.19,Monthly,TRUE
01t8d000000nYpsAAE,01sPv000002kqTzIAI,2241.9,Monthly,TRUE
01t8d000000nYpYAAU,01sPv0000038lL1IAI,1231.08,Monthly,TRUE
01t8d000000nYpYAAU,01sPv0000038lL2IAI,1236.99,Monthly,TRUE
01t8d000000nYpYAAU,01sPv0000038lKzIAI,1243.12,Monthly,TRUE
01t8d000000nYpYAAU,01sPv0000038lL0IAI,1249.29,Monthly,TRUE
01t8d000000nYpYAAU,01sPv00000246dZIAQ,1254.89,Monthly,TRUE
01t8d000000nYpYAAU,01sPv000002kqTtIAI,1261.11,Monthly,TRUE
01t8d000000nYpYAAU,01sPv000002kqTuIAI,1267.17,Monthly,TRUE
01t8d000000nYpYAAU,01sPv000002kqTvIAI,1273.45,Monthly,TRUE
01t8d000000nYpYAAU,01sPv000002kqTwIAI,1279.57,Monthly,TRUE
