"id","tenancy__c","opportunity__c","pms_reference__c","accountid","recordtypeid","unit__c","status","tenancy_status__c","startdate","enddate","ownerid","agreement_type__c","document_type__c","memorandum_of_agreement_date__c","actual_move_out_date__c","uplift_percentage__c","security_deposit_amount__c","break_clause__c","special_clauses__c","special_clause_free_text__c","vehicle_make__c","vehicle_model__c","vehicle_registration__c"
"8004J000000BQKrQAO",,"0064J00000DFsi5QAD",,"0014J00000VwCWLQA3","012Pv0000021hzSIAQ","a1G4J00000260BzUAI","Draft","Draft","2021-03-19","2022-03-18","0054J000004vV6kQAE","AST","AST",,,"0.00","0.00","2 at 4 to expire at 6",,,,,
"8004J000000BQPNQA4",,"0064J00000DGa99QAD",,"0014J00000W2FlhQAF","012Pv0000021hzSIAQ","a1G4J0000025tTLUAY","Draft","Draft","2021-03-22","2021-09-21","0054J000002JJSyQAO","AST","AST",,,"0.00","0.00","2 at 4 to expire at 6","Gas, Electricity inc. in Rent Clause",,,,
"8004J000000BQPSQA4",,"0064J00000DGa99QAD",,"0014J00000W2FlhQAF","012Pv0000021hzSIAQ","a1G4J0000025tTLUAY","Draft","Draft","2021-03-22","2021-09-21","0054J000002JJSyQAO","AST",,,,"0.00","0.00","2 at 4 to expire at 6",,,,,
"8008d000000Xs11AAC",,"0068d000002cSArAAM",,"0014J00000axH96QAE","012Pv0000021hzSIAQ","a1G4J0000025y3yUAA","Draft","Draft","2021-09-20",,"0054J000005l5ISQAY","Licence","Parking Licence",,,"0.00","0.00","2 at 4 to expire at 6",,,,,
"8008d000000Y0YAAA0",,"0068d000003sOD1AAM",,"0014J00000VvTs4QAF","012Pv0000021hzSIAQ","a1G4J0000025yHnUAI","Draft","Draft","2022-02-27","2022-08-26","0054J000004vXOiQAM","Licence","Parking Licence",,,"0.00","0.00","No Break",,,,,
"8008d000000Y0YFAA0",,"0068d000003sOD1AAM",,"0014J00000VvTs4QAF","012Pv0000021hzSIAQ","a1G4J0000025yHnUAI","Draft","Draft","2022-02-27","2022-08-26","0054J000004vXOiQAM","Licence","Parking Licence",,,"0.00","0.00","No Break",,,,,
"8008d000000YPV4AAO",,"0068d000009hcp0AAA",,"0014J00000VvTn9QAF","012Pv0000021hzSIAQ","a1G4J0000025yd1UAA","Draft","Draft","2022-09-25",,"0054J000004vXP2QAM","Licence","Parking Licence",,,"0.00","0.00","Check Contract",,,,,
"8008d000000YTVrAAO",,"0068d00000BIHj7AAH",,"0018d00000IJqU4AAL","012Pv0000021hzSIAQ","a1G4J0000025z1wUAA","Draft","Draft","2022-12-09","2023-12-08","0058d0000034SvqAAE","Licence","Parking Licence",,,"0.00","0.00","No Break",,,,,
"8008d000000YU2cAAG",,"0068d00000BIBv5AAH",,"0018d00000N9CPBAA3","012Pv0000021hzSIAQ","a1G8d0000005rItEAI","Draft","Draft","2023-01-30","2024-01-29","0054J000004vXOqQAM","AST","AST",,,"0.00","0.00","No Break",,,,,
"8008d000000YYAoAAO",,"0068d00000BKZ5PAAX",,"0018d00000QjP9wAAF","012Pv0000021hzSIAQ","a1G4J0000025wzdUAA","Draft","Draft","2023-02-28","2025-02-27","0058d0000034SvqAAE","AST","AST",,,"0.00","0.00","2 at 10 to expire at 12",,,,,
"8008d000000YYC6AAO",,"0068d00000BKZ5PAAX",,"0018d00000QjP9wAAF","012Pv0000021hzSIAQ","a1G4J0000025wzdUAA","Draft","Draft","2023-02-28","2025-02-27","0058d0000034SvqAAE","AST","AST",,,"0.00","0.00","2 at 10 to expire at 12",,,,,
"8008d000000YlKNAA0",,"0068d00000Ctex7AAB",,"0014J00000VvR6GQAV","012Pv0000021hzSIAQ","a1G4J0000025z9hUAA","Draft","Draft","2023-06-30","2024-06-29","0054J000004vXP2QAM","Licence","Shed Licence",,,"0.00","0.00","Renewal 1 month",,,,,
"8008d000000YlZNAA0",,"0068d00000CtewCAAR",,"0014J00000VvU2yQAF","012Pv0000021hzSIAQ","a1G4J0000025yorUAA","Draft","Draft","2023-07-01","2024-06-30","0054J000004vXP2QAM","Licence","Shed Licence",,,"0.00","0.00","Renewal 1 month",,,,,
"8008d000000YlaWAAS",,"0068d00000Ctf1HAAR",,"0014J00000VvU2pQAF","012Pv0000021hzSIAQ","a1G4J0000025zC3UAI","Draft","Draft","2023-07-01","2024-06-30","0054J000004vXP2QAM","Licence","Shed Licence",,,"0.00","0.00","Renewal 1 month",,,,,
