"PMS_Reference__c","tenancy_status__c","status"
"103448015002","Current","Activated"
"103180005001","Current","Activated"
"103628002002","Current","Activated"
"103879001003","Current","Activated"
"104188001001","Current","Activated"
"103180003001","Current","Activated"
"103608002004","Current","Activated"
"103963001003","Current","Activated"
"103180006001","Current","Activated"
"103195001005","Current","Activated"
"104103002002","Current","Activated"
"104154017002","Current","Activated"
"103180001004","Current","Activated"
"103180008003","Current","Activated"
"103340001002","Current","Activated"
"103477001001","Current","Activated"
"103991001003","Current","Activated"
"110687001003","Current","Activated"
"103182001001","Current","Activated"
"103739004003","Current","Activated"
"103627001002","Current","Activated"
"103854002004","Current","Activated"
"103216001001","Current","Activated"
"103578001001","Current","Activated"
"104107002004","Current","Activated"
"103934001001","Current","Activated"
"103920005005","Current","Activated"
"103249001001","Current","Activated"
"104022001001","Current","Activated"
"104473001003","Current","Activated"
"103481002002","Current","Activated"
"103223001001","Current","Activated"
"104152019003","Current","Activated"
"104152113003","Current","Activated"
"109788034003","Current","Activated"
"103226001001","Current","Activated"
"103235001001","Current","Activated"
"103239001001","Current","Activated"
"104651001001","Current","Activated"
"103237001001","Current","Activated"
"103448014003","Current","Activated"
"103448013002","Current","Activated"
"103528001003","Current","Activated"
"104152071003","Current","Activated"
"104174032005","Current","Activated"
"103603002001","Current","Activated"
"104250003002","Current","Activated"
"103257001001","Current","Activated"
"103241001001","Current","Activated"
"103394001001","Current","Activated"
"103783004001","Current","Activated"
"104465001004","Current","Activated"
"104481002001","Current","Activated"
"103253001001","Current","Activated"
"103492001001","Current","Activated"
"103256001001","Current","Activated"
"111229001001","Current","Activated"
"103251001001","Current","Activated"
"103420001001","Current","Activated"
"103445001001","Current","Activated"
"103246001001","Current","Activated"
"103730002002","Current","Activated"
"103908001001","Current","Activated"
"104059002003","Current","Activated"
"103627002001","Current","Activated"
"103987001003","Current","Activated"
"104046002001","Current","Activated"
"104165001004","Current","Activated"
"104350009002","Current","Activated"
"104455032001","Current","Activated"
"103134002001","Current","Activated"
"104152111002","Current","Activated"
"103264001001","Current","Activated"
"104279002002","Current","Activated"
"105099032003","Current","Activated"
